 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2
1,2.624E-9,504.310,442,577,5.454E-9,493.979,436,554
2,2.624E-9,503.461,452,562,5.454E-9,492.738,442,561
3,2.624E-9,502.880,455,567,5.454E-9,492.937,431,554
4,2.624E-9,504.021,448,576,5.454E-9,492.901,438,561
5,2.624E-9,503.221,448,567,5.454E-9,493.573,443,549
6,2.624E-9,502.649,446,581,5.454E-9,492.135,436,555
7,2.624E-9,504.665,437,574,5.454E-9,491.122,433,559
8,2.624E-9,504.849,456,599,5.454E-9,494.456,444,570
9,2.624E-9,503.498,454,588,5.454E-9,493.148,432,561
10,2.624E-9,503.909,437,573,5.454E-9,493.692,441,558
11,2.624E-9,503.882,441,591,5.454E-9,493.403,437,561
12,2.624E-9,502.403,433,564,5.454E-9,493.830,435,568
13,2.624E-9,504.746,457,580,5.454E-9,493.592,438,569
14,2.624E-9,502.707,429,587,5.454E-9,492.721,438,564
15,2.624E-9,503.159,444,565,5.454E-9,491.017,441,564
16,2.624E-9,502.186,447,562,5.454E-9,493.088,439,556
17,2.624E-9,504.579,447,568,5.454E-9,493.056,445,575
18,2.624E-9,503.388,449,578,5.454E-9,492.788,443,548
19,2.624E-9,502.446,442,566,5.454E-9,494.207,442,569
20,2.624E-9,503.514,433,582,5.454E-9,492.711,442,555
21,2.624E-9,503.037,444,576,5.454E-9,492.657,442,549
22,2.624E-9,503.101,457,569,5.454E-9,491.980,432,567
23,2.624E-9,503.202,449,578,5.454E-9,491.746,435,552
24,2.624E-9,504.839,448,575,5.454E-9,492.189,439,560
25,2.624E-9,503.676,442,579,5.454E-9,492.467,434,574
26,2.624E-9,502.477,457,555,5.454E-9,494.074,436,560
27,2.624E-9,503.888,449,569,5.454E-9,492.840,446,572
28,2.624E-9,503.211,446,578,5.454E-9,494.122,433,555
29,2.624E-9,502.134,447,565,5.454E-9,492.687,422,554
30,2.624E-9,503.403,451,582,5.454E-9,492.943,433,558
31,2.624E-9,503.769,449,570,5.454E-9,493.124,445,563
32,2.624E-9,502.899,447,566,5.454E-9,493.700,439,580
33,2.624E-9,503.824,450,570,5.454E-9,493.299,438,557
34,2.624E-9,503.981,457,573,5.454E-9,492.628,432,576
35,2.624E-9,502.289,446,561,5.454E-9,493.976,438,551
36,2.624E-9,502.132,443,559,5.454E-9,492.742,440,555
37,2.624E-9,502.114,443,590,5.454E-9,492.630,432,561
38,2.624E-9,503.029,446,565,5.454E-9,492.511,435,587
39,2.624E-9,502.926,445,576,5.454E-9,493.159,444,553
40,2.624E-9,504.409,460,562,5.454E-9,493.980,427,572
41,2.624E-9,502.748,447,576,5.454E-9,491.706,446,552
42,2.624E-9,504.897,462,582,5.454E-9,494.030,439,553
43,2.624E-9,502.523,445,573,5.454E-9,493.910,441,560
44,2.624E-9,503.202,440,565,5.454E-9,492.510,436,556
45,2.624E-9,502.694,443,565,5.454E-9,492.899,415,562
46,2.624E-9,505.382,453,559,5.454E-9,492.252,432,556
47,2.624E-9,502.572,445,596,5.454E-9,493.109,437,554
48,2.624E-9,503.353,451,563,5.454E-9,493.374,438,553
49,2.624E-9,501.876,454,575,5.454E-9,493.281,440,573
50,2.624E-9,501.727,440,572,5.454E-9,492.415,442,554
51,2.624E-9,503.252,448,574,5.454E-9,492.802,441,558
52,2.624E-9,503.471,448,574,5.454E-9,493.179,433,567
53,2.624E-9,502.576,447,577,5.454E-9,493.581,443,551
54,2.624E-9,502.395,433,572,5.454E-9,492.813,432,582
55,2.624E-9,502.707,453,577,5.454E-9,493.772,443,548
56,2.624E-9,503.415,442,569,5.454E-9,493.192,437,579
57,2.624E-9,503.143,448,574,5.454E-9,491.691,427,563
58,2.624E-9,503.492,448,586,5.454E-9,492.251,436,557
59,2.624E-9,502.529,461,567,5.454E-9,491.389,434,552
60,2.624E-9,504.816,450,577,5.454E-9,492.363,438,547
61,2.624E-9,504.599,446,572,5.454E-9,492.778,422,564
62,2.624E-9,502.405,450,580,5.454E-9,491.962,444,582
63,2.624E-9,503.829,432,584,5.454E-9,492.492,432,559
64,2.624E-9,503.558,452,572,5.454E-9,492.295,437,566
65,2.624E-9,502.789,451,582,5.454E-9,492.188,436,566
66,2.624E-9,502.909,451,571,5.454E-9,490.744,439,551
67,2.624E-9,504.343,450,576,5.454E-9,494.265,438,570
68,2.624E-9,503.167,446,583,5.454E-9,492.738,434,566
69,2.624E-9,502.826,449,563,5.454E-9,492.443,444,565
70,2.624E-9,504.074,452,573,5.454E-9,493.077,437,553
71,2.624E-9,502.475,460,567,5.454E-9,492.183,445,558
72,2.624E-9,502.087,452,577,5.454E-9,492.115,433,558
73,2.624E-9,501.833,447,574,5.454E-9,491.570,436,560
74,2.624E-9,503.333,455,565,5.454E-9,493.534,440,561
75,2.624E-9,503.731,451,576,5.454E-9,491.634,434,544
76,2.624E-9,499.744,447,557,5.454E-9,492.209,437,567
77,2.624E-9,503.141,452,565,5.454E-9,492.248,434,555
78,2.624E-9,502.496,439,573,5.454E-9,491.931,427,553
79,2.624E-9,501.814,455,559,5.454E-9,491.183,442,569
80,2.624E-9,503.329,453,576,5.454E-9,494.017,439,584
81,2.624E-9,503.252,458,567,5.454E-9,492.045,441,557
82,2.624E-9,502.568,452,570,5.454E-9,492.917,434,557
83,2.624E-9,503.498,450,571,5.454E-9,492.678,441,548
84,2.624E-9,502.847,446,574,5.454E-9,492.513,428,573
85,2.624E-9,503.223,441,584,5.454E-9,492.285,440,548
86,2.624E-9,503.320,435,572,5.454E-9,491.648,424,562
87,2.624E-9,501.729,435,569,5.454E-9,491.913,444,555
88,2.624E-9,502.368,448,572,5.454E-9,491.901,441,548
89,2.624E-9,502.099,434,579,5.454E-9,491.822,438,549
90,2.624E-9,501.866,433,563,5.454E-9,491.161,437,550
91,2.624E-9,503.153,444,561,5.454E-9,492.816,438,564
92,2.624E-9,503.248,450,610,5.454E-9,492.203,440,563
93,2.624E-9,503.254,454,569,5.454E-9,493.163,446,585
94,2.624E-9,503.612,451,571,5.454E-9,492.493,441,567
95,2.624E-9,501.465,447,595,5.454E-9,491.484,445,543
96,2.624E-9,502.130,450,567,5.454E-9,490.607,439,550
97,2.624E-9,501.277,450,575,5.454E-9,492.341,439,557
98,2.624E-9,500.812,451,580,5.454E-9,492.329,443,557
99,2.624E-9,501.112,455,569,5.454E-9,491.678,437,558
100,2.624E-9,502.031,447,584,5.454E-9,491.503,437,568
101,2.624E-9,502.591,447,567,5.454E-9,491.805,439,555
102,2.624E-9,502.293,453,570,5.454E-9,492.190,442,560
103,2.624E-9,501.448,429,571,5.454E-9,492.254,423,551
104,2.624E-9,503.525,455,570,5.454E-9,492.479,423,554
105,2.624E-9,504.238,450,577,5.454E-9,493.022,440,573
106,2.624E-9,502.153,451,571,5.454E-9,492.561,439,564
107,2.624E-9,501.159,446,560,5.454E-9,492.122,438,557
108,2.624E-9,503.452,444,571,5.454E-9,492.993,440,561
109,2.624E-9,503.114,444,579,5.454E-9,492.520,449,566
110,2.624E-9,503.159,433,594,5.454E-9,493.247,435,556
111,2.624E-9,501.773,461,574,5.454E-9,493.098,450,581
112,2.624E-9,501.585,448,565,5.454E-9,491.909,433,556
113,2.624E-9,503.174,451,583,5.454E-9,493.397,436,568
114,2.624E-9,502.382,453,566,5.454E-9,492.092,442,568
115,2.624E-9,500.986,441,572,5.454E-9,491.467,439,552
116,2.624E-9,502.126,452,596,5.454E-9,491.282,419,548
117,2.624E-9,503.329,449,608,5.454E-9,492.551,431,583
118,2.624E-9,503.188,453,572,5.454E-9,491.950,435,555
119,2.624E-9,502.178,450,562,5.454E-9,491.870,441,587
120,2.624E-9,502.692,453,576,5.454E-9,491.794,445,549
121,2.624E-9,501.671,459,560,5.454E-9,492.616,440,541
122,2.624E-9,502.134,449,589,5.454E-9,491.566,439,549
123,2.624E-9,502.752,448,573,5.454E-9,491.789,441,583
124,2.624E-9,501.450,452,591,5.454E-9,490.951,445,567
125,2.624E-9,502.504,447,568,5.454E-9,492.327,440,561
126,2.624E-9,502.017,455,583,5.454E-9,490.924,440,555
127,2.624E-9,502.227,439,576,5.454E-9,491.530,440,556
128,2.624E-9,502.339,442,578,5.454E-9,491.319,441,568
129,2.624E-9,501.789,449,596,5.454E-9,491.306,440,555
130,2.624E-9,500.746,448,581,5.454E-9,490.891,428,548
131,2.624E-9,502.248,444,560,5.454E-9,491.727,435,569
132,2.624E-9,502.740,453,571,5.454E-9,491.411,439,550
133,2.624E-9,500.657,445,570,5.454E-9,491.524,436,566
134,2.624E-9,501.312,454,574,5.454E-9,490.646,432,566
135,2.624E-9,502.399,444,561,5.454E-9,492.211,440,554
136,2.624E-9,502.291,426,575,5.454E-9,491.352,444,553
137,2.624E-9,502.089,454,572,5.454E-9,491.392,442,553
138,2.624E-9,501.967,439,563,5.454E-9,491.906,437,544
139,2.624E-9,501.744,449,578,5.454E-9,491.157,444,555
140,2.624E-9,502.434,450,573,5.454E-9,492.140,436,565
141,2.624E-9,503.550,453,582,5.454E-9,491.812,436,568
142,2.624E-9,503.897,455,569,5.454E-9,491.420,437,557
143,2.624E-9,501.901,453,574,5.454E-9,492.653,436,564
144,2.624E-9,501.777,446,557,5.454E-9,491.553,441,555
145,2.624E-9,502.938,437,567,5.454E-9,491.612,436,561
146,2.624E-9,503.279,449,571,5.454E-9,490.612,435,557
147,2.624E-9,503.165,438,573,5.454E-9,491.598,438,558
148,2.624E-9,500.277,445,564,5.454E-9,490.044,437,566
149,2.624E-9,503.405,445,561,5.454E-9,492.989,444,553
150,2.624E-9,502.983,447,577,5.454E-9,492.851,442,565
151,2.624E-9,499.671,453,566,5.454E-9,491.421,439,557
152,2.624E-9,501.116,447,559,5.454E-9,489.737,434,562
153,2.624E-9,501.120,453,559,5.454E-9,490.611,436,553
154,2.624E-9,500.715,448,576,5.454E-9,491.531,422,546
155,2.624E-9,501.950,457,590,5.454E-9,492.207,435,561
156,2.624E-9,501.779,448,563,5.454E-9,491.874,436,555
157,2.624E-9,500.492,453,567,5.454E-9,491.714,437,581
158,2.624E-9,501.979,450,573,5.454E-9,491.778,444,571
159,2.624E-9,501.742,443,570,5.454E-9,490.982,435,563
160,2.624E-9,503.705,448,560,5.454E-9,491.239,441,562
161,2.624E-9,501.440,456,566,5.454E-9,491.627,438,564
162,2.624E-9,501.407,443,567,5.454E-9,490.402,433,563
163,2.624E-9,502.345,452,565,5.454E-9,490.515,429,549
164,2.624E-9,503.932,444,566,5.454E-9,492.733,442,558
165,2.624E-9,503.157,450,573,5.454E-9,491.845,444,567
166,2.624E-9,501.988,451,556,5.454E-9,491.137,444,548
167,2.624E-9,499.174,436,568,5.454E-9,490.295,442,567
168,2.624E-9,501.052,451,599,5.454E-9,490.448,446,560
169,2.624E-9,503.246,456,573,5.454E-9,490.990,439,547
170,2.624E-9,503.810,454,570,5.454E-9,491.906,445,566
171,2.624E-9,503.196,437,609,5.454E-9,490.788,441,568
172,2.624E-9,502.341,444,566,5.454E-9,491.330,442,578
173,2.624E-9,501.839,443,579,5.454E-9,491.488,437,552
174,2.624E-9,500.205,447,563,5.454E-9,490.466,436,548
175,2.624E-9,501.531,448,570,5.454E-9,491.035,434,551
176,2.624E-9,499.994,442,554,5.454E-9,489.677,434,548
177,2.624E-9,501.942,450,587,5.454E-9,490.147,437,555
178,2.624E-9,503.411,451,569,5.454E-9,492.764,441,568
179,2.624E-9,501.736,451,564,5.454E-9,492.859,444,571
180,2.624E-9,500.888,447,579,5.454E-9,490.774,434,551
181,2.624E-9,502.337,450,560,5.454E-9,491.143,438,551
182,2.624E-9,502.946,443,568,5.454E-9,491.310,436,565
183,2.624E-9,502.359,453,576,5.454E-9,490.879,431,564
184,2.624E-9,502.331,443,570,5.454E-9,490.945,434,566
185,2.624E-9,501.459,446,564,5.454E-9,492.135,442,552
186,2.624E-9,501.717,456,566,5.454E-9,491.064,444,589
187,2.624E-9,502.671,444,568,5.454E-9,491.003,438,554
188,2.624E-9,500.665,448,568,5.454E-9,489.878,422,562
189,2.624E-9,502.341,431,579,5.454E-9,489.769,429,559
190,2.624E-9,502.240,449,568,5.454E-9,491.487,440,559
191,2.624E-9,501.620,453,561,5.454E-9,490.997,437,561
192,2.624E-9,501.002,445,564,5.454E-9,491.022,441,559
193,2.624E-9,500.359,439,567,5.454E-9,489.443,431,559
194,2.624E-9,501.116,448,583,5.454E-9,490.017,437,562
195,2.624E-9,501.570,438,574,5.454E-9,490.267,427,573
196,2.624E-9,503.155,455,561,5.454E-9,490.062,438,568
197,2.624E-9,500.729,454,567,5.454E-9,489.798,438,558
198,2.624E-9,501.771,444,566,5.454E-9,489.775,425,557
199,2.624E-9,500.054,454,556,5.454E-9,489.817,440,557
200,2.624E-9,501.572,450,565,5.454E-9,489.961,433,552
201,2.624E-9,502.483,435,563,5.454E-9,491.447,440,557
202,2.624E-9,504.333,442,574,5.454E-9,491.407,431,558
203,2.624E-9,501.236,446,564,5.454E-9,489.476,437,545
204,2.624E-9,500.219,441,581,5.454E-9,491.052,443,546
205,2.624E-9,500.748,449,561,5.454E-9,490.891,438,551
206,2.624E-9,501.167,436,573,5.454E-9,490.426,441,553
207,2.624E-9,500.820,441,573,5.454E-9,490.609,435,561
208,2.624E-9,503.151,455,560,5.454E-9,491.514,446,552
209,2.624E-9,502.775,443,584,5.454E-9,490.693,440,559
210,2.624E-9,501.897,440,577,5.454E-9,490.121,441,559
211,2.624E-9,501.012,455,569,5.454E-9,489.664,441,566
212,2.624E-9,501.572,446,580,5.454E-9,491.075,439,552
213,2.624E-9,501.233,441,577,5.454E-9,490.241,438,557
214,2.624E-9,500.349,446,558,5.454E-9,491.867,440,555
215,2.624E-9,500.903,448,568,5.454E-9,490.448,438,567
216,2.624E-9,501.331,452,570,5.454E-9,489.517,434,554
217,2.624E-9,499.202,447,576,5.454E-9,490.930,435,554
218,2.624E-9,501.407,452,559,5.454E-9,490.648,434,558
219,2.624E-9,500.267,448,569,5.454E-9,490.146,435,549
220,2.624E-9,501.446,450,562,5.454E-9,490.490,440,548
221,2.624E-9,499.490,436,565,5.454E-9,489.786,435,562
222,2.624E-9,500.378,450,562,5.454E-9,490.307,421,560
223,2.624E-9,502.996,447,565,5.454E-9,491.240,441,555
224,2.624E-9,500.310,448,576,5.454E-9,489.350,430,547
225,2.624E-9,501.959,439,570,5.454E-9,490.541,442,573
226,2.624E-9,501.525,448,587,5.454E-9,490.819,423,551
227,2.624E-9,501.200,452,585,5.454E-9,490.636,444,550
228,2.624E-9,500.440,442,558,5.454E-9,490.858,442,552
229,2.624E-9,503.074,442,585,5.454E-9,491.072,438,549
230,2.624E-9,501.074,448,567,5.454E-9,490.871,437,544
231,2.624E-9,501.386,437,568,5.454E-9,489.812,442,551
232,2.624E-9,501.316,451,560,5.454E-9,489.801,434,550
233,2.624E-9,501.843,445,565,5.454E-9,490.942,439,553
234,2.624E-9,501.917,452,568,5.454E-9,490.278,432,559
235,2.624E-9,498.740,448,567,5.454E-9,489.643,428,558
236,2.624E-9,502.674,445,560,5.454E-9,490.010,437,552
237,2.624E-9,500.341,445,572,5.454E-9,490.380,440,552
238,2.624E-9,500.729,441,559,5.454E-9,490.469,441,559
239,2.624E-9,503.004,457,567,5.454E-9,491.172,435,551
240,2.624E-9,501.031,448,565,5.454E-9,490.055,435,560
241,2.624E-9,500.705,452,586,5.454E-9,490.250,437,546
242,2.624E-9,501.023,443,574,5.454E-9,491.676,436,559
243,2.624E-9,500.227,451,566,5.454E-9,488.455,437,552
244,2.624E-9,502.064,445,578,5.454E-9,490.130,443,557
245,2.624E-9,501.783,442,574,5.454E-9,490.689,444,557
246,2.624E-9,501.081,455,577,5.454E-9,490.277,440,556
247,2.624E-9,502.252,449,569,5.454E-9,489.973,435,553
248,2.624E-9,500.374,457,601,5.454E-9,490.151,429,575
249,2.624E-9,501.421,450,565,5.454E-9,491.255,429,566
250,2.624E-9,500.857,438,575,5.454E-9,490.690,427,549
251,2.624E-9,498.690,452,574,5.454E-9,489.458,432,561
252,2.624E-9,499.560,444,555,5.454E-9,490.230,432,558
253,2.624E-9,501.097,446,560,5.454E-9,489.439,441,562
254,2.624E-9,500.537,433,585,5.454E-9,491.199,440,551
255,2.624E-9,499.192,455,573,5.454E-9,490.281,439,564
256,2.624E-9,500.362,439,576,5.454E-9,488.653,440,557
257,2.624E-9,501.052,447,581,5.454E-9,490.033,443,558
258,2.624E-9,501.246,449,582,5.454E-9,489.140,436,566
259,2.624E-9,499.351,433,572,5.454E-9,489.367,441,561
260,2.624E-9,501.231,447,571,5.454E-9,491.501,439,558
261,2.624E-9,499.967,445,569,5.454E-9,490.175,437,546
262,2.624E-9,499.957,434,573,5.454E-9,489.172,424,558
263,2.624E-9,500.502,445,567,5.454E-9,490.124,438,552
264,2.624E-9,502.248,447,567,5.454E-9,490.658,434,577
265,2.624E-9,499.593,441,579,5.454E-9,489.813,430,559
266,2.624E-9,501.723,445,593,5.454E-9,490.050,438,563
267,2.624E-9,500.176,441,580,5.454E-9,489.822,431,555
268,2.624E-9,498.829,451,555,5.454E-9,488.813,432,560
269,2.624E-9,499.403,450,573,5.454E-9,490.214,445,560
270,2.624E-9,501.928,449,557,5.454E-9,489.355,436,554
271,2.624E-9,501.097,453,577,5.454E-9,489.067,433,554
272,2.624E-9,501.000,453,560,5.454E-9,489.863,432,562
273,2.624E-9,499.932,453,558,5.454E-9,490.714,431,563
274,2.624E-9,500.083,452,579,5.454E-9,489.927,437,542
275,2.624E-9,500.021,447,562,5.454E-9,489.553,426,557
276,2.624E-9,501.519,439,571,5.454E-9,489.077,428,552
277,2.624E-9,500.690,451,569,5.454E-9,490.444,428,561
278,2.624E-9,499.035,445,572,5.454E-9,489.585,437,552
279,2.624E-9,499.849,449,576,5.454E-9,489.354,435,549
280,2.624E-9,502.250,447,594,5.454E-9,490.496,442,562
281,2.624E-9,501.574,439,556,5.454E-9,490.934,428,561
282,2.624E-9,500.808,447,575,5.454E-9,489.302,438,572
