Fly,video,takeoff_frame,sex,notes
7,1,1989,F,
7,3,875,F,
7,4,1029,F,puff too strong? Wings visibly pushed down towards fly plate initially
8,2,1790,F,
8,3,1791,F,
8,4,3438,F,
9,2,2252,M,
9,3,991,M,
9,4,1011,M,
11,2,1822,M,did a wing flick before actual takeoff
11,3,1415,M,
11,4,1367,M,
12,2,1296,F,
12,3,2442,F,
12,4,871,F,
13,2,1581,M,
13,3,1092,M,
13,4,3019,M,v. late takeoff relative to airpuff
14,2,883,F,
14,3,1886,F,
14,4,1362,F,
15,1,1396,F,
15,2,1251,F,
15,3,2158,F,
16,3,1493,M,
16,4,1696,M,
16,5,1783,M,
