Neuron,name,skid,cell_type
793033," ""putative VSN 793033 ZSG""",793032,LPTC
804093," ""Putative VSN 804093 ZSG""",804092,LPTC
804540," ""putative VSN 804540 ZSG""",804539,LPTC
807402," ""Putative VSN 807402 ZSG""",807401,LPTC
815242," ""Putative VSN 815242 ZSG""",815241,LPTC
815777," ""Putative VSN 815777 ZSG""",815776,LPTC
827035," ""Putative HSE 827035 ECS ZSG""",827034,LPTC
830794," ""Putative HSN 830794 ZSG""",830793,LPTC
851433," ""Putative VSN 851433 ZSG""",851432,LPTC
852287," ""Putative VSN 852287 ZSG""",852286,LPTC
852994," ""Putative VSN 852994 JLME ZSG""",852993,LPTC
886798," ""LP neuron 1107046 ZSG""",886797,LPTC
902073," ""LPTCNod #1 (right) 902073 ZSG""",902072,LPTC
905762," ""LP neuron 905762 ZSG""",905761,LPTC
982898," "" VSN-Like 982898 ZSG""",982897,LPTC
985775," ""LP neuron 985775 ZSG""",985774,LPTC
1027308," ""Putative VSN 1027308 GA""",1027307,LPTC
1030968," ""Putative VSN 1030968 GA""",1030967,LPTC
1031610," ""Putative VSN 1031610 GA""",1031609,LPTC
1034265," ""Putative VSN 1034265 GA""",1034264,LPTC
1037035," ""Putative VSN 1037035 GA""",1037034,LPTC
1038272," ""Putative VSN 1038272 GA""",1038271,LPTC
1038416," ""Putative VSN 1038416 GA""",1038415,LPTC
1040471," ""Putative VSN 1040471 GA""",1040470,LPTC
1054754," ""LPTCNod #2 (right) 1054754 MBR""",1054753,LPTC
1056098," ""vCal3 neuron (right) 1056098 MBR""",1056097,LPTC
1058779," ""Putative Twin VSN 1058779 GA""",1058778,LPTC
1058997," ""LPTCNod #3 (right) 859402 MBR""",1058996,LPTC
1059147," ""Putative Twin VSN 1059147 GA""",1059146,LPTC
1059421," ""LP neuron 1059421 ZSG""",1059420,LPTC
1061369," ""LP neuron 1061369 ZSG""",1061368,LPTC
1066333," ""Putative VSN 1066333 GA""",1066332,LPTC
1071861," ""LP neuron 1071861 ZSG""",1071860,LPTC
1077175," ""DCH neuron (right) 1077175 ZSG-GA""",1077174,LPTC
1078049," ""VCH neuron (left) 1078049 GA CPM""",1078048,LPTC
1078536," ""VCH neuron (right) 1078536 GA-ZSG""",1078535,LPTC
1088633," ""Putative HSN 1088633 GA""",1088632,LPTC
1088679," ""H2 neuron (right) 1088679 ZSG""",1088678,LPTC
1088755," ""Putative HSE 1088755 GA""",1088754,LPTC
1106959," ""LPTCNod #5 (right) 1058997 ZSG MBR""",1106958,LPTC
1107046," ""LP neuron 886798 ZSG""",1107045,LPTC
1107297," ""LP neuron 1107297 GA""",1107296,LPTC
1110694," ""LP neuron 1110694 GA ZSG""",1110693,LPTC
1110766," ""LP neuron 1110766 GA ZSG""",1110765,LPTC
1111993," ""LP neuron 1111993 GA ZSG""",1111992,LPTC
1121336," ""H1 (left) neuron 1121336 ZSG""",1121335,LPTC
1121731," ""H1 neuron (right) 1121731 ZSG""",1121730,LPTC
1121796," ""LPTCNod #6 (right) 1121796 ZSG GA""",1121795,LPTC
3503998," ""LP neuron 3503998 CPM""",3503997,LPTC
3509521," ""Putative Mt_VPN LP neuron 3509521 CPM""",3509520,LPTC
3509764," ""dCal1 neuron (left) 3509764 CPM""",3509763,LPTC
3511000," ""LP neuron 3511000 CPM""",3510999,LPTC
3514699," ""LP neuron 3514699 CPM""",3514698,LPTC
3526292," ""Putative Twin VSN 3526292 PG""",3526291,LPTC
3529072," ""vCal2 neuron (right) 7456394 BG""",3529071,LPTC
3546484," ""LPTCNod #4 (right) 3546484 PG""",3546483,LPTC
3796481," ""Putative HSS 3796481 PG""",3796480,LPTC
4058825," ""Putative HSS 408972 SJH ZSG""",4058824,LPTC
4135043," ""LP neuron 4135043 PG""",4135042,LPTC
4224595," ""neuron 4224595 ME""",4224594,LPTC
4224712," ""neuron 4224712 ME""",4224711,LPTC
4235153," ""LP neuron 4235153 PG""",4235152,LPTC
4504549," ""LP neuron 4504549 NAS CPM""",4504548,LPTC
4504558," ""neuron 4504558 NAS""",4504557,LPTC
4646359," ""Putative Twin VSN 4646359 JSP""",4646358,LPTC
4702641," ""neuron 4702641 JP""",4702640,LPTC
4909998," ""Putative Twin VSN 4909998 JSP""",4909997,LPTC
5053486," ""Putative VSN 5053486""",5053485,LPTC
5232903," ""H2 neuron (left) 5232903 ME""",5232902,LPTC
6243410," ""DCH neuron (left) 6243410 CPM""",6243409,LPTC
