,root_id,top_nt,hemibrain_type,super_class,cell_class,cell_type,side,ito_lee_hemilineage,hc_cell_type
16100,720575940625728284,gaba,NA,visual_centrifugal,NA,NA,right,NA,OLC1
17929,720575940633395539,gaba,NA,visual_centrifugal,NA,NA,right,NA,OLC1
16958,720575940625740042,gaba,NA,visual_centrifugal,NA,NA,right,NA,OLC1
17539,720575940633548895,gaba,NA,visual_centrifugal,NA,NA,right,NA,OLC1
16092,720575940629611855,gaba,NA,visual_centrifugal,NA,NA,left,NA,OLC1
4427,720575940619465630,gaba,NA,visual_centrifugal,NA,NA,right,NA,OLC1
22510,720575940621603750,gaba,NA,visual_centrifugal,NA,NA,right,NA,OLC1
15364,720575940624639561,gaba,NA,visual_centrifugal,NA,NA,left,NA,OLC1
1871,720575940620847318,gaba,NA,visual_centrifugal,NA,NA,right,NA,OLC1
15327,720575940632626146,gaba,NA,visual_centrifugal,NA,NA,right,NA,OLC1
18152,720575940631346605,gaba,NA,visual_centrifugal,NA,NA,right,NA,OLC1
17458,720575940624502601,gaba,NA,visual_centrifugal,NA,NA,left,NA,OLC1
17432,720575940604081836,gaba,NA,visual_centrifugal,NA,NA,left,NA,OLC1
2325,720575940625962920,gaba,NA,visual_centrifugal,NA,NA,right,NA,OLC1
26630,720575940615629115,acetylcholine,NA,visual_centrifugal,NA,NA,right,NA,Other_1
5899,720575940616070203,gaba,NA,visual_centrifugal,NA,NA,right,NA,OLC1
16305,720575940630817071,gaba,NA,visual_centrifugal,NA,NA,left,NA,OLC1
19375,720575940630027833,gaba,NA,visual_centrifugal,NA,NA,right,NA,OLC1
16943,720575940637471677,gaba,NA,visual_centrifugal,NA,NA,left,NA,OLC1
16207,720575940623532056,gaba,NA,visual_centrifugal,NA,NA,left,NA,Other_2
15435,720575940630334586,gaba,NA,visual_centrifugal,NA,NA,left,NA,OLC1
17141,720575940625780026,gaba,NA,visual_centrifugal,NA,NA,right,NA,OLC1
16686,720575940625501053,gaba,NA,visual_centrifugal,NA,NA,right,NA,OLC1
37118,720575940625302474,gaba,NA,visual_centrifugal,NA,NA,left,NA,OLC1
17774,720575940619832240,gaba,NA,visual_centrifugal,NA,NA,left,NA,OLC1
15028,720575940638044126,gaba,NA,visual_centrifugal,NA,NA,left,NA,OLC1
14288,720575940628777371,gaba,NA,visual_centrifugal,NA,NA,left,NA,OLC1
